Geneid         	YRIERR188044  	YRIERR188104  	YRIERR188234  	GBRERR188245  	GBRERR188257  	YRIERR188273  	GBRERR188337  	GBRERR188383  	GBRERR188401  	GBRERR188428  	YRIERR188454  	YRIERR204916
NR_030381	0	0	0	0	0	0	0	0	0	0	0	0
NR_039774	0	0	0	0	0	0	0	0	0	1	0	0
NR_004379	0	0	0	0	0	0	0	0	0	0	0	0
NM_020769	33	4	7	2	3	4	2	3	2	3	2	7
NR_002718	0	0	0	0	0	1	0	0	0	0	0	0
NM_014289	0	1	0	0	0	1	0	0	0	0	0	0
NM_000555	0	0	0	0	0	0	0	0	0	0	0	0
NR_033974	1	0	0	0	0	0	1	0	1	9	0	0
NM_001039210	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257230	0	0	0	0	0	0	0	0	0	0	0	0
NR_033125	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257241	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257239	0	0	1	0	1	0	1	3	1	0	1	0
NM_001257240	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257237	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257235	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257234	0	0	0	0	0	0	0	0	0	0	0	0
NM_001257231	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099922	0	0	0	0	0	0	0	0	0	0	0	0
NM_018466	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168385	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195578	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195577	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195576	0	0	0	0	0	0	0	0	0	0	0	0
NM_178175	87	65	35	10	47	11	69	51	87	23	39	34
NR_036255	0	0	0	0	0	0	0	0	0	0	0	0
NM_001113490	85	36	48	0	5	19	28	28	3	2	25	43
NM_133265	37	27	16	0	3	9	16	21	2	2	21	31
NR_031733	0	0	0	0	0	0	0	0	0	0	0	0
NR_031581	0	0	0	0	0	0	0	0	0	0	0	0
NR_031563	0	0	0	0	0	0	0	0	0	0	0	0
NR_002993	0	0	0	0	0	0	0	0	0	0	0	0
NR_031732	0	0	0	0	0	0	0	0	0	0	0	0
NR_031578	0	0	0	0	0	0	0	0	0	0	0	0
NR_029955	0	0	0	0	0	0	0	0	0	0	0	0
NM_000640	0	0	0	0	0	0	0	0	0	0	0	0
